identificador,id_contrato,tipo,descripcion,fecharegistro
CO1.CTRMOD.4679512,CO1.PCCNTR.1312125,No definido,A SOLICITUD DE LA CONTRATISTA CON VISTO BUENO DE LA SUPERVISORA SE TERMINA EL CONTRATO DE PRESTACIoN DE SERVICIOS NO. 2654-2020 REALIZA ACTIVIDADES HASTA EL 02 DE AGOSTO DE 2020. SE ANEXA SOPORTE,2020-09-08T00:00:00.000
CO1.CTRMOD.8656227,CO1.PCCNTR.2548041,MODIFICACION GENERAL,"SE REALIZA EL PRESENTE OTROSI DEBIDO A LA SOLICITUD DE LA SECRETARIA DISTRITAL DE GOBIERNO  QUE NO ACEPTA LAS CONDICIONES INICIALMENTE CONTRATADAS CON LA COMPAÑiA DE SEGUROS Y COMO PARTE DE LOS LINEAMIENTOS PARA OTORGAR LA AUTORIZACIoN QUE REQUIERE EL TEATRO COLON PARA LA REALIZACIoN DE EVENTOS MASIVOS EXIGEN QUE SEAN INCLUIDOS EN LA PoLIZA DE RESPONSABILIDAD CIVIL EXTRACONTRACTUAL LOS SIGUIENTES iTEMS

RESPONSABILIDAD CIVIL POR PRODUCTOS.

LOS AMPAROS DEBEN TENER UN VALOR ASEGURADO DE 200 SMMLV MiNIMO Y EN NINGuN CASO ESTOS PUEDEN ESTAR SUBLIMITADOS; EXCEPTO LAS COBERTURAS DE RESPONSABILIDAD CIVIL POR PRODUCTOS Y GASTOS MeDICOS.

EL JUEVES 30 DE JUNIO LA COMPAÑiA DE SEGUROS ACEPTA LOS TeRMINOS DE COTIZACIoN Y CONFIRMA LOS MISMOS POR VALOR DE SEIS MILLONES QUINIENTOS MIL PESOS ($6.500.000) MCTE; RAZoN POR LA CUAL DE LOS ($8.000.000) MCTE COMPROMETIDOS EN EL CDP NO.446422 SOLO SE UTILIZARa LOS $6.500.000 SEÑALADOS ANTERIORMENTE.",2022-06-03T00:00:00.000
CO1.CTRMOD.6267174,CO1.PCCNTR.2199613,MODIFICACION GENERAL,EL SUPERVISOR DEL CONTRATO MEDIANTE CORREO ELECTRoNICO SOLICITA LA ADICIoN; JUSTIFICADO EN QUE LA DIRECCIoN GENERAL A INICIO DE AÑO SITuA EN CADA CENTRO DE FORMACIoN LOS RECURSOS PARA ADELANTAR LA CONTRATACIoN DE INSTRUCTORES; DE ACUERDO A LA PLANEACIoN Y LAS METAS ASIGNADAS. EL CENTRO DE TELEINFORMaTICA Y PRODUCCIoN INDUSTRIAL ADELANTo LA CONTRATACIoN DE INSTRUCTORES; PERO EN RAZoN DEL RECURSO ASIGNADO; NO FUE POSIBLE CONTRATAR LA MAYORiA HASTA LA FECHA PREVISTA PARA CULMINAR LA FORMACIoN EN LA VIGENCIA 2021. EN ESE ORDEN DE IDEAS Y EN ATENCIoN A QUE PERSISTE LA NECESIDAD DE GARANTIZAR LA FORMACIoN PROFESIONAL INTEGRAL DE ACUERDO AL CALENDARIO ACADeMICO; SE HACE NECESARIO DAR CONTINUIDAD A LOS CONTRATOS DE PRESTACIoN DE SERVICIOS; LO ANTERIOR; CON EL FIN DE EVITAR DILACIONES Y TRAUMATISMO EN LAS FORMACIONES TITULADA Y COMPLEMENTARIA QUE SE ENCUENTRAN EN CURSO Y PRoXIMOS A TERMINAR. LO ANTERIOR JUSTIFICACIoN TIENE SUSTENTO NORMATIVO Y JURiDICO EN LOS PRINCIPIOS DEL CORRECTO DESARROLLO DE LA FUNCIoN ADMINISTRATIVA COMO LO SON LA EFICACIA; EFICIENCIA ECONOMiA Y CELERIDAD.,2021-06-03T00:00:00.000
CO1.CTRMOD.8195954,CO1.PCCNTR.3532565,MODIFICACION GENERAL,CONSIDERANDO: 1) QUE LA SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE; SE RIGE EN MATERIA CONTRACTUAL POR EL DERECHO PRIVADO CONFORME A LA NORMATIVIDAD VIGENTE (ReGIMEN ESPECIAL). 2) QUE EL ACUERDO NO. 37 DE 2017 ESTATUTO DE CONTRATACIoN Y LA RESOLUCIoN 754 DE 2017 MANUAL DE CONTRATACIoN Y SUS MODIFICACIONES; ESTABLECEN QUE LOS CONTRATOS DE APOYO A LA GESTIoN PODRaN ADICIONARSE CUANTAS VECES SEA NECESARIO. 3) QUE DE ACUERDO A REQUERIMIENTO PRESENTADO POR EL  SUPERVISOR Y/O DIRECTOR DE SERVICIOS PREVIA VERIFICACION CON EL SUPERVIOSR DEL CONTRATO SE HACE NECESARIO  PRORROGAR  Y/O ADICIONAR ESTE CONTRATO PARA DAR CUMPLIMIENTO A LA MISIoN Y VISIoN DE LA ENTIDAD AL IGUAL QUE LA NECESIDAD DE LA PRESTACIoN DE SERVICIOS DE PROFESIONALES Y/O DE APOYO A LA GESTIoN ASISTENCIAL Y ADMINISTRATIVA PARA DAR RESPUESTA A LA COMUNIDAD DEL DISTRITO; COMO SE SOPORTA EN LAS CONSIDERACIONES EXPUESTAS  EN LOS  DOCUMENTOS ANEXOS; PARA LO CUAL LA ENTIDAD RECURRE A LA PRESENTE MODIFICACIoN CONFORME A LA NORMATIVIDAD VIGENTE Y A LOS LINEAMIENTOS DE COLOMBIA COMPRA EFICIENTE.,2022-04-02T00:00:00.000
CO1.CTRMOD.5897268,CO1.PCCNTR.2199950,MODIFICACION GENERAL,MODIFICACION,2021-04-02T00:00:00.000
CO1.CTRMOD.6823741,CO1.PCCNTR.2452380,MODIFICACION GENERAL,SE ADICIONA Y PRORROGA A SOLICITUD DEL AREA,2021-01-05T00:00:00.000
CO1.CTRMOD.7209702,CO1.PCCNTR.2231420,MODIFICACION GENERAL,CONSIDERANDO: 1) QUE LA SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE; SE RIGE EN MATERIA CONTRACTUAL POR EL DERECHO PRIVADO CONFORME A LA NORMATIVIDAD VIGENTE (ReGIMEN ESPECIAL). 2) QUE EL ACUERDO NO. 37 DE 2017 ESTATUTO DE CONTRATACIoN Y LA RESOLUCIoN 754 DE 2017 MANUAL DE CONTRATACIoN Y SUS MODIFICACIONES; ESTABLECEN QUE LOS CONTRATOS DE APOYO A LA GESTIoN PODRaN ADICIONARSE CUANTAS VECES SEA NECESARIO. 3) QUE DE ACUERDO A REQUERIMIENTO PRESENTADO POR EL DIRECTOR DE SERVICIOS Y/O SUPERVISOR DEL CONTRATO SE HACE NECESARIO  PRORROGAR Y ADICIONAR  ESTE CONTRATO PARA DAR CUMPLIMIENTO A LA MISIoN Y VISIoN DE LA ENTIDAD AL IGUAL QUE LA NECESIDAD DE LA PRESTACIoN DE SERVICIOS DE PROFESIONALES Y/O DE APOYO A LA GESTIoN ASISTENCIAL Y ADMINISTRATIVA PARA DAR RESPUESTA A LA COMUNIDAD DEL DISTRITO; COMO SE SOPORTA EN LAS CONSIDERACIONES EXPUESTAS  EN LOS  DOCUMENTOS ANEXOS; PARA LO CUAL LA ENTIDAD RECURRE A LA PRESENTE MODIFICACIoN CONFORME A LA NORMATIVIDAD VIGENTE Y A LOS LINEAMIENTOS DE COLOMBIA COMPRA EFICIENTE.,2021-01-02T00:00:00.000
CO1.CTRMOD.1583220,CO1.PCCNTR.1085809,MODIFICACION GENERAL,SE REALIZA MODIFICACION AL CONTRATO 6307,2019-01-02T00:00:00.000
CO1.CTRMOD.6722227,CO1.PCCNTR.2388413,No definido,Sin Descripción,2021-09-02T00:00:00.000
CO1.CTRMOD.9378020,CO1.PCCNTR.3424302,No definido,TERMINACION DEL CONTRATO 6700023658 DE 2022,2022-09-03T00:00:00.000
